question,answer_number
さくらは休暇のために遊歩道に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1300ユーロを与えました。ギフトショップでは、Saltwater Taffyが「1 kgあたり22ユーロで16 kgを購入し、4 kgの1/4をオフにしてください」で販売されていました。彼女は22 kgをすくい上げました。彼女はまた、ヒトデの混合袋を11.0ユーロで購入し、それぞれ20.0ユーロのキーチェーン12個を購入しました。その後、サクラは途中でチャリティースタンドに5ユーロを寄付しました。さくらはどれくらいのお金を残しましたか？,582
ケイラは休暇のために桟橋に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1400を与えました。ビーチショップでは、ロックキャンディーが「1 kgあたり22 kgで16 kgを購入し、6 kgの2/3をオフにしてください」で販売されていました。彼女は23 kgをすくいました。彼女はまた、₺11.0とそれぞれ₺20.5の14個のステッカー用に海のガラスの混合袋を購入しました。その後、ケイラは途中でチャリティースタンドに₺5を寄付しました。ケーラはいくら残っていますか？,679
チェンは休暇のために遊歩道に行きました。彼女の両親は彼女が望むものを何でも買うために彼女に1300ドルを与えました。ギフトショップでは、Saltwater Taffyが「1 kgあたり22ドルで16 kgを購入し、6 kgの1/4オフを獲得して」で販売されていました。彼女は23 kgをすくいました。彼女はまた、ヒトデの混合袋を11.0ドルで購入し、それぞれ21.0ドルのキーチェーン11個を購入しました。チェンはその後、途中でチャリティースタンドで5ドルを寄付しました。チェンはどれくらいのお金を残しましたか？,580
ファティマは休暇のために桟橋に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1200を与えました。ビーチショップでは、ロックキャンディーが「1 kgあたり20 kgで16 kgを購入し、6 kgの1/3オフを獲得しました」で販売されていました。彼女は23 kgをすくいました。彼女はまた、それぞれ20.0である11.0と13のステッカー用に海のガラスの混合袋を購入しました。その後、ファティマは途中でチャリティースタンドに5を寄付しました。ファチマはどれくらいのお金を残しましたか？,504
Avaは休暇のために海岸に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1400ドルを与えました。シーサイドストアでは、「1ポンドあたり22ドルで17ポンドを購入し、4ポンド1/2オフを獲得」で綿菓子が販売されていました。彼女は23ポンドをすくいました。彼女はまた、それぞれ20.5ドルの11.0ドルと18個のピンでサンゴの断片の混合袋を購入しました。その後、Avaは途中でチャリティースタンドで5ドルを寄付しました。Avaにはいくらのお金が残っていますか？,553
ヴァレリアは休暇のために海岸に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1300ユーロを与えました。海辺の店では、「1ポンドあたり21ユーロで15ポンドを購入し、5ポンド1/3オフを獲得」で綿菓子が販売されていました。彼女は23ポンドをすくいました。彼女はまた、それぞれ21.0ユーロの11.0ユーロでサンゴの断片の混合袋を購入しました。その後、ヴァレリアは途中でチャリティースタンドに5ユーロを寄付しました。ヴァレリアにはいくらのお金が残っていますか？,605
ソフィアは休暇のために桟橋に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1400を与えました。ビーチショップでは、ロックキャンディーが「1 kgあたり20 kgで17 kgを購入し、5 kgの1/2オフを獲得しました」で販売されていました。彼女は23 kgをすくいました。彼女はまた、それぞれ₺20.0である13個のステッカー用に海のガラスの混合袋を購入しました。ソフィアはその後、途中でチャリティースタンドに₺5を寄付しました。ソフィアにはいくらのお金が残っていますか？,714
メイは休暇のためにビーチに行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1300円を与えました。お土産店では、ファッジは「1キログラムあたり23円で15キログラムを購入し、4キログラムの1/4オフを獲得しました」で販売されていました。彼女は20キログラムをすくい上げました。彼女はまた、それぞれ21.0円であった11.0円と14個のはがきで砂ドルの混合袋を購入しました。その後、メイは途中でチャリティースタンドに5円を寄付しました。メイはどれくらいのお金を残しましたか？,553
ソフィアは休暇のために桟橋に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1400を与えました。ビーチショップでは、ロックキャンディーが「1キログラムあたり23キログラムで15キログラムを購入し、6キログラム1/3オフ」で販売されていました。彼女は23キログラムをすくい上げました。彼女はまた、₺11.0と18のステッカーのために海のガラスの混合袋を購入しました。ソフィアはその後、途中でチャリティースタンドに₺5を寄付しました。ソフィアにはいくらのお金が残っていますか？,532
タラは休暇のために遊歩道に行きました。彼女の両親は、彼女が望むものを何でも買うために彼女に1200を与えました。ギフトショップでは、Saltwater Taffyが「1 kgあたり22 kgで17 kgを購入し、4 kgの1/4をオフにしてください」で販売されていました。彼女は23 kgをすくいました。彼女はまた、それぞれ20.0である11.0と12のキーチェーンでヒトデの混合袋を購入しました。その後、タラは途中でチャリティースタンドに5を寄付しました。タラにはいくらのお金が残っていますか？,460
農夫は牛のために飼料を買っています。彼はさまざまなリンゴ、干し草、きゅうり、トウモロコシを買います。トウモロコシは珍しいトリートであるため、彼は4つの6ポンドの箱だけを安定させています。彼は野菜が新鮮である間に牛に餌を与えるのに十分なキュウリを望んでいるので、14個の8ポンドのバッグを購入します。リンゴは彼の牛の主な食事であるため、彼は35の42ポンドパックを購入します。干し草はリンゴを補うための定番であるため、18ポンドの18ポンドの袋を購入します。最後に、彼は43ポンドの食料品、27ポンドのツール、100ポンドの木材を購入します。農場トラックは一度に140ポンドを運ぶことができます。農家が3台のトラックを持っている場合、農家は購入したすべてのアイテムを輸送するために何回旅行する必要がありますか？,5
農夫は羊のために飼料を買っています。彼はさまざまな小麦、トウモロコシ、ビート、オート麦を買います。オート麦は珍しいトリートであるため、彼は5つの3 kgの箱だけを安定させています。彼は野菜が新鮮である間に羊に餌を与えるのに十分なビートしか望んでいないので、彼は11 kgの袋を購入します。小麦は彼の羊の主な食事であるため、彼は34個の44 kgパックを購入します。トウモロコシは小麦を補うための定番であるため、彼は18 kgの袋を購入します。最後に、彼は43 kgの食料品、27 kgのツール、100 kgの木材を購入します。農場トラックは、一度に140 kgを運ぶことができます。農家が3台のトラックを持っている場合、農家は購入したすべてのアイテムを輸送するために何回旅行する必要がありますか？,5
