question,answer_number
"সাকুরা অবকাশের জন্য বোর্ডওয়াকে গিয়েছিলেন।তার বাবা -মা তাকে যা চান তা কিনতে 1300 ডলার দিয়েছিলেন।উপহারের দোকানে, সল্টওয়াটার ট্যাফি ""প্রতি কেজি প্রতি 22 ডলারে 16 কেজি কিনুন, 4 কেজি 1/4 ছাড় পান।""তিনি 22 কেজি স্কুপ করেছেন।তিনি স্টারফিশের মিশ্র ব্যাগটি 11.0 ডলার এবং 12 টি কীচেইনের জন্যও কিনেছিলেন যা প্রতি 20.0 ডলার ছিল।সাকুরা তারপরে একটি দাতব্য স্ট্যান্ডে 5 ডলার দান করেছিল।সাকুরা কত টাকা রেখেছে?",582
"কায়লা ছুটির জন্য পিয়ারে গেলেন।তার বাবা -মা তাকে যা চান তা কিনতে ₺1400 দিয়েছেন।সৈকত শপে, রক ক্যান্ডি বিক্রি ছিল ""প্রতি কেজি প্রতি কেজি 16 কেজি কিনুন, 6 কেজি 2/3 ছাড় পান।""তিনি 23 কেজি স্কুপ করেছেন।তিনি ₺11.0 এবং 14 স্টিকারের জন্য সমুদ্রের কাচের একটি মিশ্র ব্যাগও কিনেছিলেন যা প্রতিটি ₺20.5 ছিল।কায়লা এরপরে একটি দাতব্য প্রতিষ্ঠানে ₺5 দান করেছিলেন।কায়লা কত টাকা রেখেছে?",679
"চেন অবকাশের জন্য বোর্ডওয়াকে গিয়েছিলেন।তার বাবা -মা তাকে যা চান তা কিনতে 1300 ডলার দিয়েছেন।উপহারের দোকানে, সল্টওয়াটার ট্যাফি ""প্রতি কেজি প্রতি 22 ডলারে 16 কেজি কিনুন, 6 কেজি 1/4 ছাড় পান।""তিনি 23 কেজি স্কুপ করেছেন।তিনি স্টারফিশের মিশ্র ব্যাগটি 11.0 ডলার এবং 11 টি কীচেনগুলিতেও কিনেছিলেন যা প্রতি 21.0 ডলার ছিল।চেন তারপরে একটি দাতব্য স্ট্যান্ডে $ 5 দান করেছিলেন।চেন কত টাকা রেখেছেন?",580
"ফাতিমা ছুটির জন্য পিয়ারে গেলেন।তার বাবা -মা তাকে যা চান তা কিনতে 1200 ডলার দিয়েছেন।সৈকত শপে, রক ক্যান্ডি বিক্রি ছিল ""প্রতি কেজি 20 কেজি 16 কেজি কিনুন, 6 কেজি 1/3 ছাড় পান।""তিনি 23 কেজি স্কুপ করেছেন।তিনি ₣ 11.0 এবং 13 স্টিকারের জন্য সমুদ্রের কাচের একটি মিশ্র ব্যাগও কিনেছিলেন যা প্রতি 20.0 ডলার ছিল।ফাতিমা তারপরে একটি দাতব্য প্রতিষ্ঠানে ₣ 5 অনুদান দিয়েছিল।ফাতেমা কত টাকা রেখেছেন?",504
"আভা অবকাশের জন্য উপকূলে গিয়েছিল।তার বাবা -মা তাকে যা চান তা কিনতে 1400 ডলার দিয়েছিলেন।সমুদ্র উপকূলের দোকানে, কটন ক্যান্ডি বিক্রি ছিল ""প্রতি পাউন্ডে 17 পাউন্ড কিনুন, 4 পাউন্ড 1/2 ছাড় পান।""তিনি 23 পাউন্ড স্কুপ করেছেন।তিনি 11.0 ডলার এবং 18 টি পিনের জন্য প্রবাল টুকরাগুলির একটি মিশ্র ব্যাগও কিনেছিলেন যা প্রতি 20.5 ডলার ছিল।আভা তারপরে একটি দাতব্য স্ট্যান্ডে $ 5 অনুদান দিয়েছিল।আভা কত টাকা রেখেছে?",553
"ভ্যালেরিয়া ছুটিতে উপকূলে গিয়েছিল।তার বাবা -মা তাকে যা চান তা কিনতে 1300 ডলার দিয়েছিলেন।সমুদ্র উপকূলের দোকানে, কটন ক্যান্ডি বিক্রি ছিল ""প্রতি পাউন্ডে 15 পাউন্ড কিনুন, 5 পাউন্ড 1/3 ছাড় পান।""তিনি 23 পাউন্ড স্কুপ করেছেন।তিনি 11.0 ডলার এবং 11 টি পিনের জন্য প্রবাল টুকরাগুলির একটি মিশ্র ব্যাগও কিনেছিলেন যা প্রতি 21.0 ডলার ছিল।ভ্যালেরিয়া তারপরে একটি দাতব্য স্ট্যান্ডে 5 ডলার দান করেছিল।ভ্যালেরিয়া কত টাকা রেখেছে?",605
"সোফিয়া ছুটির জন্য পিয়ারে গিয়েছিল।তার বাবা -মা তাকে যা চান তা কিনতে ₺1400 দিয়েছেন।সৈকত শপে, রক ক্যান্ডি বিক্রি ছিল ""প্রতি কেজি প্রতি কেজি 17 কেজি কিনুন, 5 কেজি 1/2 ছাড় পান।""তিনি 23 কেজি স্কুপ করেছেন।তিনি ₺11.0 এবং 13 টি স্টিকারের জন্য সমুদ্রের কাচের একটি মিশ্র ব্যাগও কিনেছিলেন যা প্রতিটি ₺20.0 ছিল।সোফিয়া তারপরে একটি দাতব্য স্ট্যান্ডে ₺5 দান করেছিল।সোফিয়া কত টাকা রেখেছে?",714
"মেই ছুটির জন্য সৈকতে গেলেন।তার বাবা -মা তাকে যা চান তা কিনতে 1300 ডলার দিয়েছেন।স্যুভেনির স্টোরে, ফজ ""প্রতি কেজি প্রতি 23 ডলারে 15 কেজি কিনুন, 4 কেজি 1/4 ছাড় পান"" এর জন্য বিক্রি ছিল।তিনি 20 কিলোগ্রাম স্কুপ করেছেন।তিনি 11.0 ডলার এবং 14 টি পোস্টকার্ডের জন্য বালির ডলারের মিশ্র ব্যাগও কিনেছিলেন যা প্রতি 21.0 ডলার ছিল।মী তারপরে একটি দাতব্য স্ট্যান্ডে 5 ডলার দান করেছিলেন।মেই কত টাকা রেখেছেন?",553
"সোফিয়া ছুটির জন্য পিয়ারে গিয়েছিল।তার বাবা -মা তাকে যা চান তা কিনতে ₺1400 দিয়েছেন।সৈকত শপে, রক ক্যান্ডি বিক্রি ছিল ""প্রতি কেজি প্রতি 15 কেজি কিনুন, 6 কেজি 1/3 ছাড় পান।""তিনি 23 কিলোগ্রাম স্কুপ করেছেন।তিনি ₺11.0 এবং 18 টি স্টিকারের জন্য সমুদ্রের কাচের একটি মিশ্র ব্যাগও কিনেছিলেন যা প্রতিটি ₺20.5 ছিল।সোফিয়া তারপরে একটি দাতব্য স্ট্যান্ডে ₺5 দান করেছিল।সোফিয়া কত টাকা রেখেছে?",532
"তারা ছুটির জন্য বোর্ডওয়াক গিয়েছিল।তার বাবা -মা তাকে যা চান তা কিনতে 1200 ডলার দিয়েছেন।উপহারের দোকানে, সল্টওয়াটার ট্যাফি ""প্রতি কেজি 22 এ 17 কেজি কিনুন, 4 কেজি 1/4 ছাড় পান"" এর জন্য বিক্রি ছিল।তিনি 23 কেজি স্কুপ করেছেন।তিনি স্টারফিশের একটি মিশ্র ব্যাগও কিনেছিলেন ₣ 11.0 এবং 12 কীচেন যা প্রতিটি ₣ 20.0 ছিল।তারার পরে পথের একটি দাতব্য স্ট্যান্ডে 5 ডলার অনুদান দেওয়া হয়েছিল।তারা কত টাকা রেখেছেন?",460
