question,answer_number
"Sakura alikwenda kwenye barabara kuu kwa likizo.Wazazi wake walimpa € 1300 kununua chochote anachotaka.Katika duka la zawadi, Taffy ya chumvi ilikuwa inauzwa kwa ""Nunua kilo 16 kwa € 22 kwa kilo, pata kilo 4 1/4.""Alipata kilo 22.Alinunua pia begi iliyochanganywa ya Starfish kwa € 11.0 na vifunguo 12 ambavyo vilikuwa € 20.0 kila moja.Sakura basi alichangia € 5 kwa kusimama kwa misaada njiani.Sakura amebaki na pesa ngapi?",582
"Kayla alikwenda kwa gati kwa likizo.Wazazi wake walimpa ₺1400 kununua chochote anachotaka.Katika duka la pwani, Pipi ya Rock ilikuwa inauzwa kwa ""Nunua kilo 16 kwa ₺22 kwa kilo, pata kilo 6 2/3.""Alipata kilo 23.Alinunua pia begi iliyochanganywa ya glasi ya bahari kwa ₺11.0 na stika 14 ambazo zilikuwa ₺20.5 kila moja.Kayla basi alichangia ₺5 kwa kusimama kwa misaada njiani.Kayla amebaki na pesa ngapi?",679
"Chen alikwenda kwenye barabara ya bodi kwa likizo.Wazazi wake walimpa $ 1300 kununua chochote anachotaka.Kwenye duka la zawadi, Taffy ya chumvi ilikuwa inauzwa kwa ""Nunua kilo 16 kwa $ 22 kwa kilo, pata kilo 6 1/4.""Alipata kilo 23.Alinunua pia begi iliyochanganywa ya Starfish kwa $ 11.0 na vifunguo 11 ambavyo vilikuwa $ 21.0 kila moja.Chen kisha alichangia $ 5 kwa kusimama kwa misaada njiani.Chen ameacha pesa ngapi?",580
"Fatima alikwenda kwa gati kwa likizo.Wazazi wake walimpa ₣ 1200 kununua chochote anachotaka.Katika duka la pwani, Pipi ya Rock ilikuwa inauzwa kwa ""Nunua kilo 16 kwa ₣ 20 kwa kilo, pata kilo 6 1/3.""Alipata kilo 23.Alinunua pia begi iliyochanganywa ya glasi ya bahari kwa ₣ 11.0 na stika 13 ambazo zilikuwa ₣ 20.0 kila moja.Fatima basi alichangia ₣ 5 kwa kusimama kwa misaada njiani.Fatima ameacha pesa ngapi?",504
"Ava alikwenda pwani kwa likizo.Wazazi wake walimpa $ 1400 kununua chochote anachotaka.Katika duka la bahari, Pipi ya Pamba ilikuwa inauzwa kwa ""Nunua pauni 17 kwa $ 22 kwa paundi, pata pauni 4 1/2.""Alipata pauni 23.Alinunua pia begi iliyochanganywa ya vipande vya matumbawe kwa $ 11.0 na pini 18 ambazo zilikuwa $ 20.5 kila moja.Ava basi alichangia $ 5 kwa kusimama kwa misaada njiani.Je! Ava ameacha pesa ngapi?",553
"Valeria alikwenda pwani kwa likizo.Wazazi wake walimpa € 1300 kununua chochote anachotaka.Katika duka la bahari, Pipi ya Pamba ilikuwa inauzwa kwa ""Nunua pauni 15 kwa € 21 kwa paundi, pata pauni 5 1/3.""Alipata pauni 23.Alinunua pia begi iliyochanganywa ya vipande vya matumbawe kwa € 11.0 na pini 11 ambazo zilikuwa € 21.0 kila moja.Valeria basi alichangia € 5 kwa kusimama kwa misaada njiani.Je! Valeria ameacha pesa ngapi?",605
"Sophia alikwenda kwa gati kwa likizo.Wazazi wake walimpa ₺1400 kununua chochote anachotaka.Katika duka la pwani, Pipi ya Rock ilikuwa inauzwa kwa ""Nunua kilo 17 kwa ₺20 kwa kilo, pata kilo 5 1/2.""Alipata kilo 23.Alinunua pia begi iliyochanganywa ya glasi ya bahari kwa ₺11.0 na stika 13 ambazo zilikuwa ₺20.0 kila moja.Sophia basi alichangia ₺5 kwa kusimama kwa misaada njiani.Sophia amebaki na pesa ngapi?",714
"Mei alikwenda pwani kwa likizo.Wazazi wake walimpa ¥ 1300 kununua chochote anachotaka.Katika duka la kumbukumbu, Fudge ilikuwa inauzwa kwa ""Nunua kilo 15 kwa ¥ 23 kwa kilo, pata kilo 4 1/4.""Alipata kilo 20.Alinunua pia begi iliyochanganywa ya dola za mchanga kwa ¥ 11.0 na kadi za posta 14 ambazo zilikuwa ¥ 21.0 kila moja.Mei basi alichangia ¥ 5 kwa kusimama kwa misaada njiani.Je! Mei ameacha pesa ngapi?",553
"Sophia alikwenda kwa gati kwa likizo.Wazazi wake walimpa ₺1400 kununua chochote anachotaka.Katika duka la pwani, Pipi ya Rock ilikuwa inauzwa kwa ""Nunua kilo 15 kwa ₺23 kwa kilo, pata kilo 6 1/3.""Alipata kilo 23.Alinunua pia begi iliyochanganywa ya glasi ya bahari kwa ₺11.0 na stika 18 ambazo zilikuwa ₺20.5 kila moja.Sophia basi alichangia ₺5 kwa kusimama kwa misaada njiani.Sophia amebaki na pesa ngapi?",532
"Tara alikwenda kwenye barabara ya bodi kwa likizo.Wazazi wake walimpa ₣ 1200 kununua chochote anachotaka.Kwenye duka la zawadi, Taffy ya chumvi ilikuwa inauzwa kwa ""Nunua kilo 17 kwa ₣ 22 kwa kilo, pata kilo 4 1/4.""Alipata kilo 23.Alinunua pia begi iliyochanganywa ya Starfish kwa ₣ 11.0 na vifunguo 12 ambavyo vilikuwa ₣ 20.0 kila moja.Tara kisha alichangia ₣ 5 kwa kusimama kwa misaada njiani.Tara ameacha pesa ngapi?",460
"Mkulima ananunua malisho kwa ng'ombe wake.Yeye hununua maapulo anuwai, nyasi, matango na mahindi.Kwa kuwa mahindi ni matibabu ya nadra, yeye hununua sanduku nne za pauni 6 kwao kwa utulivu wote.Yeye anataka tu matango ya kutosha kulisha ng'ombe wakati mboga ni safi, kwa hivyo hununua mifuko ya pauni kumi na nne.Maapulo ndio lishe kuu ya ng'ombe wake, kwa hivyo hununua pakiti thelathini na tano za pauni 42.Hay ni kikuu cha kuongeza maapulo, kwa hivyo hununua magunia kumi na nane ya pauni 18.Mwishowe, yeye hununua pauni 43 za mboga, na pauni 27 za zana, na pauni 100 za kuni.Lori la shamba linaweza kubeba pauni 140 kwa wakati mmoja.Ikiwa mkulima ana malori matatu, mkulima anahitaji kusafirisha vitu vyote vilivyonunuliwa?",5
"Mkulima ananunua malisho kwa kondoo wake.Yeye hununua aina ya ngano, mahindi, beets na oats.Kwa kuwa oats ni matibabu ya nadra, yeye hununua masanduku matano-3-kilo kwao kwa utulivu wote.Yeye anataka tu beets za kutosha kulisha kondoo wakati mboga ni safi, kwa hivyo hununua mifuko kumi na moja ya kilo 7.Ngano ndio lishe kuu ya kondoo wake, kwa hivyo hununua pakiti thelathini na nne 44-kilo.Nafaka ni kikuu cha kuongeza ngano, kwa hivyo hununua magunia kumi na nane ya kilo 19.Mwishowe, yeye hununua kilo 43 za mboga, na kilo 27 za zana, na kilo 100 za kuni.Lori la shamba linaweza kubeba kilo 140 kwa wakati mmoja.Ikiwa mkulima ana malori matatu, mkulima anahitaji kusafirisha vitu vyote vilivyonunuliwa?",5
