question,answer_number
"Sakura est allé à la promenade pour des vacances.Ses parents lui ont donné 1300 € pour acheter ce qu'elle voulait.Dans la boutique de cadeaux, Saltwater Taffy était en vente pour ""Acheter 16 kg à 22 € par kg, obtenez 4 kg 1/4 de réduction.""Elle a ramassé 22 kg.Elle a également acheté un sac mixte d'étoiles de mer pour 11,0 € et 12 clés de clés qui étaient de 20,0 € chacun.Sakura a ensuite fait don de 5 € dans un stand de bienfaisance en cours de route.Combien d'argent Sakura reste-t-il?",582
"Kayla est allée à la jetée pour des vacances.Ses parents lui ont donné ₺1400 pour acheter ce qu'elle voulait.Dans la boutique de plage, Rock Candy était en vente pour ""Acheter 16 kgs à ₺22 par kg, obtenez 6 kg 2/3 de réduction.""Elle a ramassé 23 kg.Elle a également acheté un sac mélangé de verre de mer pour 11,0 ₺1,0 et 14 autocollants qui étaient ₺20,5 chacun.Kayla a ensuite fait don de ₺5 dans un stand de charité en cours de route.Combien d'argent Kayla reste-t-il?",679
"Chen est allé à la promenade pour des vacances.Ses parents lui ont donné 1300 $ pour acheter ce qu'elle voulait.Dans la boutique de cadeaux, Saltwater Taffy était en vente pour ""acheter 16 kg à 22 $ par kg, obtenir 6 kg 1/4 de rabais.""Elle a ramassé 23 kg.Elle a également acheté un sac mixte d'étoile de mer pour 11,0 $ et 11 clés de clés qui étaient de 21,0 $ chacun.Chen a ensuite fait don de 5 $ dans un stand de charité en cours de route.Combien d'argent Chen reste-t-il?",580
"Fatima est allée à la jetée pour des vacances.Ses parents lui ont donné 1200 pour acheter ce qu'elle voulait.Dans la boutique de plage, Rock Candy était en vente pour ""Acheter 16 kg à 20 ₣ par kg, obtenez 6 kgs 1/3 de raccourci.""Elle a ramassé 23 kg.Elle a également acheté un sac mélangé de verre de mer pour ₣ 11,0 et 13 autocollants qui étaient de 20,0 ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ 20.Fatima a ensuite fait don de ₣ 5 à un stand de charité en cours de route.Combien d'argent Fatima reste-t-il?",504
"Ava est allée sur la côte pour des vacances.Ses parents lui ont donné 1400 $ pour acheter ce qu'elle voulait.Au magasin Seaside, Cotton Candy était en vente pour ""Acheter 17 livres à 22 $ la livre, obtenir 4 livres 1/2 de rabais.""Elle a ramassé 23 livres.Elle a également acheté un sac mixte de pièces de corail pour 11,0 $ et 18 broches qui étaient de 20,5 $ chacune.Ava a ensuite fait don de 5 $ dans un stand de charité en cours de route.Combien d'argent AVA reste-t-il?",553
"Valeria est allée sur la côte pour des vacances.Ses parents lui ont donné 1300 € pour acheter ce qu'elle voulait.Dans le magasin Seaside, Cotton Candy était en vente pour ""Acheter 15 livres à 21 € la livre, obtenez 5 livres 1/3 de remise"".Elle a ramassé 23 livres.Elle a également acheté un sac mixte de pièces de corail pour 11,0 € et 11 broches qui étaient de 21,0 € chacune.Valeria a ensuite fait don de 5 € dans un stand de bienfaisance en cours de route.Combien d'argent Valeria reste-t-il?",605
"Sophia est allée à la jetée pour des vacances.Ses parents lui ont donné ₺1400 pour acheter ce qu'elle voulait.Dans la boutique de plage, Rock Candy était en vente pour ""Acheter 17 kgs à ₺20 par kg, obtenez 5 kgs 1/2 de rabais.""Elle a ramassé 23 kg.Elle a également acheté un sac mélangé de verre de mer pour 11,0 ₺1,0 et 13 autocollants qui étaient ₺20,0 chacun.Sophia a ensuite fait don de ₺5 dans un stand de charité en cours de route.Combien d'argent Sophia a-t-il laissé?",714
"Mei est allé à la plage pour des vacances.Ses parents lui ont donné 1300 ¥ pour acheter ce qu'elle voulait.Dans le magasin de souvenirs, Fudge était en vente pour ""acheter 15 kilogrammes à 23 ¥ par kilogramme, obtenez 4 kilogrammes 1/4 de repos"".Elle a ramassé 20 kilogrammes.Elle a également acheté un sac mixte de dollars de sable pour 11,0 ¥ et 14 cartes postales qui étaient de 21,0 ¥ chacune.Mei a ensuite fait don de 5 ¥ dans un stand de charité en cours de route.Combien d'argent mei reste-t-il?",553
"Sophia est allée à la jetée pour des vacances.Ses parents lui ont donné ₺1400 pour acheter ce qu'elle voulait.Dans la boutique de plage, Rock Candy était en vente pour ""Acheter 15 kilogrammes à 23 ₺3 par kilogramme, obtenez 6 kilogrammes 1/3 de repos"".Elle a ramassé 23 kilogrammes.Elle a également acheté un sac mélangé de verre de mer pour 11,0 et 18 autocollants qui étaient ₺20,5 chacun.Sophia a ensuite fait don de ₺5 dans un stand de charité en cours de route.Combien d'argent Sophia a-t-il laissé?",532
"Tara est allée à la promenade pour des vacances.Ses parents lui ont donné 1200 pour acheter ce qu'elle voulait.Dans la boutique de cadeaux, Saltwater Taffy était en vente pour ""Acheter 17 kg à 22 ₣ par kg, obtenez 4 kg 1/4 de repos"".Elle a ramassé 23 kg.Elle a également acheté un sac mixte d'étoile de mer pour 11,0 et 12 clés de clés qui étaient de 20,0 ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ ₣ 20,0.Tara a ensuite fait don de ₣ 5 à un stand de charité en cours de route.Combien d'argent Tara reste-t-il?",460
