question,answer_number
"సాకురా సెలవు కోసం బోర్డువాక్ వెళ్ళాడు.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు 00 1300 ఇచ్చారు.బహుమతి దుకాణంలో, సాల్ట్‌వాటర్ టాఫీ ""కిలోకు € 22 చొప్పున 16 కిలోలు కొనండి, 4 కిలోలు 1/4 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 22 కిలోలు పెరిగింది.ఆమె స్టార్ ఫిష్ యొక్క మిశ్రమ సంచిని .0 11.0 మరియు 12 కీచైన్లకు € 20.0 కు కొనుగోలు చేసింది.సాకురా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద € 5 విరాళం ఇచ్చాడు.సాకురాకు ఎంత డబ్బు మిగిలి ఉంది?",582
"కైలా సెలవు కోసం పైర్ వద్దకు వెళ్ళాడు.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు ₺1400 ఇచ్చారు.బీచ్ షాపులో, రాక్ కాండీ ""కిలోకు ₺22 చొప్పున 16 కిలోల కొనండి, 6 కిలోల 2/3 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 కిలోలు పెరిగింది.ఆమె ₺11.0 మరియు 14 స్టిక్కర్ల కోసం సముద్రపు గ్లాస్ మిశ్రమ సంచిని కూడా కొనుగోలు చేసింది.కైలా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద ₺5 విరాళం ఇచ్చాడు.కైలాకు ఎంత డబ్బు మిగిలి ఉంది?",679
"చెన్ విహారయాత్ర కోసం బోర్డువాక్ వెళ్ళాడు.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు 00 1300 ఇచ్చారు.బహుమతి దుకాణంలో, సాల్ట్‌వాటర్ టాఫీ ""కిలోకు $ 22 చొప్పున 16 కిలోలు కొనండి, 6 కిలోల 1/4 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 కిలోలు పెరిగింది.ఆమె స్టార్ ఫిష్ యొక్క మిశ్రమ సంచిని .0 11.0 మరియు 11 కీచైన్లకు .0 21.0 కు కొనుగోలు చేసింది.చెన్ అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద $ 5 విరాళం ఇచ్చాడు.చెన్ ఎంత డబ్బు వదిలివేసింది?",580
"ఫాతిమా సెలవు కోసం పైర్ వద్దకు వెళ్ళింది.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు ₣ 1200 ఇచ్చారు.బీచ్ షాపులో, రాక్ కాండీ ""కిలోకు ₣ 20 చొప్పున 16 కిలోల కొనండి, 6 కిలోల 1/3 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 కిలోలు పెరిగింది.ఆమె .0 11.0 మరియు 13 స్టిక్కర్ల కోసం సముద్రపు గ్లాస్ మిశ్రమ సంచిని కూడా కొనుగోలు చేసింది.ఫాతిమా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద ₣ 5 విరాళం ఇచ్చింది.ఫాతిమాకు ఎంత డబ్బు మిగిలి ఉంది?",504
"అవా సెలవు కోసం తీరానికి వెళ్ళింది.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు 00 1400 ఇచ్చారు.సముద్రతీర దుకాణం వద్ద, కాటన్ మిఠాయి ""పౌండ్కు $ 22 చొప్పున 17 పౌండ్లను కొనండి, 4 పౌండ్ల 1/2 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 పౌండ్లను పైకి లేపింది.ఆమె పగడపు ముక్కల మిశ్రమ సంచిని .0 11.0 మరియు 18 పిన్‌లకు .5 20.5 చొప్పున కొనుగోలు చేసింది.అవా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద $ 5 విరాళం ఇచ్చాడు.అవాకు ఎంత డబ్బు మిగిలి ఉంది?",553
"వలేరియా సెలవు కోసం తీరానికి వెళ్ళింది.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు 00 1300 ఇచ్చారు.సముద్రతీర దుకాణం వద్ద, కాటన్ మిఠాయి ""పౌండ్కు € 21 చొప్పున 15 పౌండ్లను కొనండి, 5 పౌండ్ల 1/3 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 పౌండ్లను పైకి లేపింది.ఆమె పగడపు ముక్కల మిశ్రమ సంచిని .0 11.0 మరియు 11 పిన్స్ కోసం € 21.0.అప్పుడు వలేరియా దారిలో ఒక ఛారిటీ స్టాండ్ వద్ద € 5 విరాళం ఇచ్చింది.వలేరియాకు ఎంత డబ్బు మిగిలి ఉంది?",605
"సోఫియా సెలవు కోసం పైర్ వద్దకు వెళ్ళింది.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు ₺1400 ఇచ్చారు.బీచ్ షాపులో, రాక్ కాండీ ""కిలోకు ₺20 చొప్పున 17 కిలోలు కొనండి, 5 కిలోల 1/2 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 కిలోలు పెరిగింది.ఆమె ₺11.0 మరియు 13 స్టిక్కర్ల కోసం సముద్రపు గ్లాస్ మిశ్రమ సంచిని కూడా కొనుగోలు చేసింది.సోఫియా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద ₺5 విరాళం ఇచ్చింది.సోఫియాకు ఎంత డబ్బు మిగిలి ఉంది?",714
"మెయి సెలవు కోసం బీచ్ వెళ్ళాడు.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు ¥ 1300 ఇచ్చారు.సావనీర్ స్టోర్ వద్ద, ఫడ్జ్ ""కిలోగ్రాముకు 15 కిలోగ్రాములు ¥ 23 చొప్పున కొనండి, 4 కిలోగ్రాముల 1/4 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 20 కిలోగ్రాములు పెట్టింది.ఆమె ఇసుక డాలర్ల మిశ్రమ సంచిని .0 11.0 మరియు 14 పోస్ట్‌కార్డ్‌లకు ¥ 21.0 కు కొనుగోలు చేసింది.అప్పుడు మెయి మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద ¥ 5 విరాళం ఇచ్చాడు.MEI కి ఎంత డబ్బు మిగిలి ఉంది?",553
"సోఫియా సెలవు కోసం పైర్ వద్దకు వెళ్ళింది.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు ₺1400 ఇచ్చారు.బీచ్ షాపులో, రాక్ కాండీ ""కిలోగ్రాముకు 15 కిలోగ్రాములు కొనండి, 6 కిలోగ్రాముల 1/3 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 కిలోగ్రాములు పెట్టింది.ఆమె ₺11.0 మరియు 18 స్టిక్కర్ల కోసం సముద్రపు గ్లాస్ మిశ్రమ సంచిని కూడా కొనుగోలు చేసింది.సోఫియా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద ₺5 విరాళం ఇచ్చింది.సోఫియాకు ఎంత డబ్బు మిగిలి ఉంది?",532
"తారా విహారయాత్ర కోసం బోర్డువాక్ వద్దకు వెళ్ళాడు.ఆమె తల్లిదండ్రులు ఆమె కోరుకున్నది కొనడానికి ఆమెకు ₣ 1200 ఇచ్చారు.బహుమతి దుకాణంలో, సాల్ట్‌వాటర్ టాఫీ ""కిలోకు ₣ 22 చొప్పున 17 కిలోలు కొనండి, 4 కిలోలు 1/4 ఆఫ్ పొందండి"" కోసం అమ్మకానికి ఉంది.ఆమె 23 కిలోలు పెరిగింది.ఆమె ₣ 11.0 మరియు 12 కీచైన్ల కోసం మిశ్రమ బ్యాగ్ స్టార్ ఫిష్ కూడా కొన్నది.తారా అప్పుడు మార్గం వెంట ఒక ఛారిటీ స్టాండ్ వద్ద ₣ 5 విరాళం ఇచ్చాడు.తారాకు ఎంత డబ్బు మిగిలి ఉంది?",460
