question,answer_number
"Сакура отправился на променад на отпуск.Ее родители дали ей 1300 евро, чтобы купить все, что она хотела.В сувенирном магазине Saltwater Taffy был в продаже за «Купить 16 кг в 22 евро за кг, получить 4 кг со скидкой 1/4».Она подняла 22 кг.Она также купила смешанный пакет с морскими звездами за 11,0 и 12 брелок евро, которые составляли 20,0 евро каждая.Затем Сакура пожертвовал 5 евро на благотворительном стенде по пути.Сколько денег осталось Сакура?",582
"Кайла пошла на пирс на отпуск.Ее родители дали ей 1400, чтобы купить все, что она хотела.В пляжном магазине Rock Candy был в продаже за «Купить 16 кг по 22 фунтов стерлингов за кг, получив 6 кг 2/3».Она подняла 23 кг.Она также купила смешанный мешок с морским стеклом за 11,0 и 14 наклеек, которые были 20,5.Затем Кайла пожертвовала 5 на благотворительную позицию по пути.Сколько денег ушла Кайла?",679
"Чен отправился на променад на отпуск.Ее родители дали ей 1300 долларов, чтобы купить все, что она хотела.В сувенирном магазине Saltwater Taffy был в продаже за «Купить 16 кг по 22 доллара за кг, получить 6 кг 1/4 скидки».Она подняла 23 кг.Она также купила смешанный пакет с звездными звездами за 11,0 и 11 ключей в размере 11,0 долларов и 11 долларов, которые составляли 21,0 доллара каждая.Затем Чен пожертвовал 5 долларов на благотворительном стенде по пути.Сколько денег уехал Чен?",580
"Фатима пошла на пирс на отпуск.Ее родители дали ей 1200 ₣, чтобы купить все, что она хотела.В пляжном магазине Rock Candy была в продаже за «Купить 16 кг по 20 фунтов стерлингов за кг, получает 6 кг 1/3 скидки».Она подняла 23 кг.Она также купила смешанный мешок с морским стеклом за 11,0 и 13 наклеек, которые составляли 20,0.Фатима затем пожертвовал 5 на благотворительную стойку по пути.Сколько денег ушла Фатима?",504
"Ава отправилась на побережье на отпуск.Ее родители дали ей 1400 долларов, чтобы купить все, что она хотела.В магазине Seaside Cothlack Candy был в продаже за «Купить 17 фунтов в 22 доллара за фунт, получить 4 фунта 1/2 скидки».Она подхватила 23 фунта.Она также купила смешанный пакет с коралловыми кусочками за 11,0 и 18 штифтов, которые составляли 20,5 долларов.Затем Ава пожертвовала 5 долларов на благотворительном стенде по пути.Сколько денег ушла Ава?",553
"Валерия отправилась на побережье на отпуск.Ее родители дали ей 1300 евро, чтобы купить все, что она хотела.В магазине Seaside конфетка была в продаже за «Купить 15 фунтов в 21 евро за фунт, получить 5 фунтов 1/3 скидки».Она подхватила 23 фунта.Она также купила смешанный пакет с коралловыми кусочками за 11,0 и 11 штифтов евро, которые составляли 21,0 евро каждая.Затем Валерия пожертвовала 5 евро на благотворительном стенде по пути.Сколько денег ушла Валерия?",605
"София пошла на пирс на отпуск.Ее родители дали ей 1400, чтобы купить все, что она хотела.В пляжном магазине Rock Candy был в продаже «Купить 17 кг по 20 ₺ за кг, получить 5 кг 1/2 скидки».Она подняла 23 кг.Она также купила смешанную сумку из морского стекла за 11,0 и 13 наклеек, которые были 20,0.Затем София пожертвовала 5 на благотворительном стенде по пути.Сколько денег осталась София?",714
"Мэй пошел на пляж на отпуск.Ее родители дали ей 1300 иен, чтобы купить все, что она хотела.В сувенирном магазине Фадж был в продаже за «Покупать 15 килограммов в 23 иен за килограмм, получите 4 килограмма 1/4 скидки».Она подняла 20 килограммов.Она также купила смешанную сумку с песчаными долларами за 11,0 и 14 открыток и 14 имен, которые составляли 21,0 иен.MEI затем пожертвовал 5 иен на благотворительном стенде по пути.Сколько денег осталось Мей?",553
"София пошла на пирс на отпуск.Ее родители дали ей 1400, чтобы купить все, что она хотела.В пляжном магазине Rock Candy была в продаже за «Покупать 15 килограммов в размере 23 фунтов ск.Она подняла 23 килограмма.Она также купила смешанную сумку из морского стекла за 11,0 и 18 наклеек, которые были 20,5.Затем София пожертвовала 5 на благотворительном стенде по пути.Сколько денег осталась София?",532
"Тара отправилась на променад на отпуск.Ее родители дали ей 1200 ₣, чтобы купить все, что она хотела.В сувенирном магазине Saltwater Taffy был в продаже за «Купить 17 кг в размере 22 ₣ за кг, получить 4 кг 1/4 скидки».Она подняла 23 кг.Она также купила смешанный пакет с морскими звездами за 11,0 и 12 ключей ₣ 11,0 и 12, которые составляли 20,0.Затем Тара пожертвовала ₣ 5 на благотворительной стойке по пути.Сколько денег ушла Тара?",460
