question,answer_number
"ซากุระไปที่ทางเดินริมทะเลเพื่อไปพักผ่อนพ่อแม่ของเธอให้€ 1300 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านขายของที่ระลึก Taffy มีการขายสำหรับ ""ซื้อ 16 กิโลกรัมที่€ 22 ต่อกิโลกรัมรับ 4 กิโลกรัม 1/4""เธอตักขึ้น 22 กิโลกรัมเธอยังซื้อถุงปลาดาวผสมราคา€ 11.0 และ 12 พวงกุญแจที่มี€ 20.0 ต่อคนซากุระบริจาค€ 5 ที่ยืนการกุศลตลอดทางซากุระเหลือเงินเท่าไหร่?",582
"Kayla ไปที่ท่าเรือสำหรับวันหยุดพ่อแม่ของเธอให้₺1400เพื่อซื้อสิ่งที่เธอต้องการที่ร้านค้าชายหาด Rock Candy วางขายสำหรับ ""ซื้อ 16 กิโลกรัมที่₺22ต่อกิโลกรัมรับ 6 กิโลกรัม 2/3""เธอตักขึ้น 23 กิโลกรัมเธอยังซื้อถุงแก้วทะเลผสมสำหรับ₺11.0และ 14 สติกเกอร์ที่มี₺20.5ต่อชิ้นจากนั้นเคย์ล่าก็บริจาค₺5ที่ยืนการกุศลตลอดทางKayla เหลือเงินเท่าไหร่?",679
"เฉินไปที่ทางเดินริมทะเลเพื่อไปพักผ่อนพ่อแม่ของเธอให้เงิน $ 1300 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านขายของที่ระลึก Taffy มีการขายสำหรับ ""ซื้อ 16 กิโลกรัมที่ $ 22 ต่อกิโลกรัมรับ 6 กิโลกรัม 1/4""เธอตักขึ้น 23 กิโลกรัมเธอยังซื้อถุงปลาดาวผสมราคา $ 11.0 และ 11 พวงกุญแจที่มีราคา $ 21.0เฉินจากนั้นบริจาค $ 5 ที่ยืนการกุศลตลอดทางเฉินเหลือเงินเท่าไหร่?",580
"ฟาติมาไปที่ท่าเรือเพื่อพักผ่อนพ่อแม่ของเธอให้เธอ₣ 1200 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านค้าชายหาด Rock Candy วางขายสำหรับ ""ซื้อ 16 กิโลกรัมที่₣ 20 ต่อกิโลกรัมรับ 6 กิโลกรัม 1/3""เธอตักขึ้น 23 กิโลกรัมเธอยังซื้อถุงแก้วทะเลผสมสำหรับ₣ 11.0 และ 13 สติกเกอร์ที่มี₣ 20.0 แต่ละอันฟาติมาบริจาค₣ 5 ที่ยืนการกุศลตลอดทางฟาติมาเหลือเงินเท่าไหร่?",504
"เอวาไปที่ชายฝั่งเพื่อไปพักผ่อนพ่อแม่ของเธอให้เงิน $ 1,400 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านค้าริมทะเล Cotton Candy วางขายสำหรับ ""ซื้อ 17 ปอนด์ที่ $ 22 ต่อปอนด์รับ 4 ปอนด์ 1/2""เธอตัก 23 ปอนด์เธอยังซื้อถุงปะการังผสมราคา $ 11.0 และ 18 พินที่มีราคา $ 20.5จากนั้นเอวาบริจาค $ 5 ที่ยืนการกุศลระหว่างทางAva เหลือเงินเท่าไหร่?",553
"วาเลอเรียไปที่ชายฝั่งเพื่อไปพักผ่อนพ่อแม่ของเธอให้€ 1300 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านค้าริมทะเล Cotton Candy วางขายสำหรับ ""ซื้อ 15 ปอนด์ที่€ 21 ต่อปอนด์รับ 5 ปอนด์ 1/3 ปิด""เธอตัก 23 ปอนด์นอกจากนี้เธอยังซื้อถุงปะการังผสมราคา€ 11.0 และ 11 พินที่มี€ 21.0 ต่อชิ้นจากนั้นวาเลอเรียก็บริจาค€ 5 ที่ยืนการกุศลตลอดทางValeria เหลือเงินเท่าไหร่?",605
"โซเฟียไปที่ท่าเรือสำหรับวันหยุดพ่อแม่ของเธอให้₺1400เพื่อซื้อสิ่งที่เธอต้องการที่ร้านค้าชายหาด Rock Candy วางขายสำหรับ ""ซื้อ 17 กิโลกรัมที่₺20ต่อกิโลกรัมรับ 5 กิโลกรัม 1/2""เธอตักขึ้น 23 กิโลกรัมเธอยังซื้อถุงแก้วทะเลผสมสำหรับ₺11.0และ 13 สติกเกอร์ที่มี₺20.0แต่ละอันโซเฟียจากนั้นบริจาค₺5ที่ยืนการกุศลตลอดทางโซเฟียเหลือเงินเท่าไหร่?",714
"เหม่ยไปเที่ยวชายหาดเพื่อไปเที่ยวพักผ่อนพ่อแม่ของเธอให้เธอ¥ 1300 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านขายของที่ระลึกฟัดจ์ขายสำหรับ ""ซื้อ 15 กิโลกรัมที่¥ 23 ต่อกิโลกรัมรับ 4 กิโลกรัม 1/4""เธอตักขึ้น 20 กิโลกรัมนอกจากนี้เธอยังซื้อถุงทรายผสมสำหรับโปสการ์ด¥ 11.0 และ 14 โปสการ์ดที่มีราคา 21.0 เยนเหม่ยบริจาค 5 เยนที่ยืนการกุศลไปตามทางเหม่ยเหลือเงินเท่าไหร่?",553
"โซเฟียไปที่ท่าเรือสำหรับวันหยุดพ่อแม่ของเธอให้₺1400เพื่อซื้อสิ่งที่เธอต้องการที่ร้านค้าชายหาด Rock Candy วางขายสำหรับ ""ซื้อ 15 กิโลกรัมที่₺23ต่อกิโลกรัมรับ 6 กิโลกรัม 1/3 ปิด""เธอตักขึ้น 23 กิโลกรัมเธอยังซื้อถุงแก้วทะเลผสมสำหรับ₺11.0และ 18 สติกเกอร์ที่มี₺20.5ต่อชิ้นโซเฟียจากนั้นบริจาค₺5ที่ยืนการกุศลตลอดทางโซเฟียเหลือเงินเท่าไหร่?",532
"ทาราไปที่ทางเดินริมทะเลเพื่อไปเที่ยวพักผ่อนพ่อแม่ของเธอให้เธอ₣ 1200 เพื่อซื้อสิ่งที่เธอต้องการที่ร้านขายของที่ระลึก Taffy น้ำเค็มวางขายสำหรับ ""ซื้อ 17 กิโลกรัมที่₣ 22 ต่อกิโลกรัมรับ 4 กิโลกรัม 1/4""เธอตักขึ้น 23 กิโลกรัมนอกจากนี้เธอยังซื้อถุงปลาดาวผสมสำหรับ₣ 11.0 และ 12 พวงกุญแจที่มี₣ 20.0 ต่อคนทาราจากนั้นบริจาค₣ 5 ที่ยืนการกุศลไปตามทางTara เหลือเงินเท่าไหร่?",460
เกษตรกรกำลังซื้อฟีดสำหรับวัวของเขาเขาซื้อแอปเปิ้ลหลากหลายชนิดหญ้าแห้งแตงกวาและข้าวโพดเนื่องจากข้าวโพดเป็นสิ่งที่หายากเขาจึงซื้อกล่อง 6 ปอนด์สี่กล่องเพื่อความมั่นคงทั้งหมดเขาต้องการแตงกวาเพียงพอที่จะเลี้ยงวัวในขณะที่ผักสดดังนั้นเขาจึงซื้อถุง 8 ปอนด์สิบสี่ถุงแอปเปิ้ลเป็นอาหารหลักของวัวของเขาดังนั้นเขาจึงซื้อแพ็ค 42 ปอนด์สามสิบห้าปอนด์หญ้าแห้งเป็นวัตถุดิบหลักในการเสริมแอปเปิ้ลดังนั้นเขาจึงซื้อกระสอบ 18 ปอนด์สิบแปดในที่สุดเขาซื้อของชำ 43 ปอนด์และเครื่องมือ 27 ปอนด์และไม้ 100 ปอนด์รถบรรทุกฟาร์มสามารถพกพาได้ 140 ปอนด์ต่อครั้งหากเกษตรกรมีรถบรรทุกสามคันผู้เกษตรกรจำเป็นต้องเดินทางไปยังรายการที่ซื้อทั้งหมดกี่ครั้ง?,5
เกษตรกรกำลังซื้อฟีดสำหรับแกะของเขาเขาซื้อข้าวสาลีข้าวโพดหัวผักกาดและข้าวโอ๊ตเนื่องจากข้าวโอ๊ตเป็นของที่หายากเขาจึงซื้อกล่อง 3 กิโลกรัมเพียงห้ากล่องเพื่อความมั่นคงทั้งหมดเขาต้องการหัวผักกาดเพียงพอที่จะเลี้ยงแกะในขณะที่ผักสดดังนั้นเขาจึงซื้อถุง 7 กก. สิบเอ็ดข้าวสาลีเป็นอาหารหลักของแกะของเขาดังนั้นเขาจึงซื้อแพ็ค 44 กิโลกรัมสามสิบสี่กิโลกรัมข้าวโพดเป็นวัตถุดิบหลักในการเสริมข้าวสาลีดังนั้นเขาจึงซื้อกระสอบสิบแปดกิโลกรัมในที่สุดเขาซื้อของชำ 43 กิโลกรัมและเครื่องมือ 27 กิโลกรัมและไม้ 100 กิโลกรัมรถบรรทุกฟาร์มสามารถพกพาได้ 140 กิโลกรัมต่อครั้งหากเกษตรกรมีรถบรรทุกสามคันผู้เกษตรกรจำเป็นต้องเดินทางไปยังรายการที่ซื้อทั้งหมดกี่ครั้ง?,5
เกษตรกรกำลังซื้อฟีดสำหรับวัวของเขาเขาซื้อข้าวสาลีข้าวโอ๊ตแครอทและข้าวโพดหลากหลายชนิดเนื่องจากข้าวโพดเป็นสิ่งที่หายากเขาจึงซื้อกล่อง 5 กิโลกรัมเจ็ดกล่องเพื่อความมั่นคงทั้งหมดเขาต้องการแครอทเพียงพอที่จะเลี้ยงวัวในขณะที่ผักสดดังนั้นเขาจึงซื้อถุง 7 กก. สิบเอ็ดข้าวสาลีเป็นอาหารหลักของวัวของเขาดังนั้นเขาจึงซื้อแพ็ค 39 กิโลกรัมสามสิบสี่กิโลกรัมข้าวโอ๊ตเป็นวัตถุดิบหลักในการเสริมข้าวสาลีดังนั้นเขาจึงซื้อกระสอบ 18 กิโลกรัมสิบเก้าในที่สุดเขาซื้อของชำ 43 กิโลกรัมและเครื่องมือ 27 กิโลกรัมและไม้ 100 กิโลกรัมรถบรรทุกฟาร์มสามารถพกพาได้ 130 กิโลกรัมต่อครั้งหากเกษตรกรมีรถบรรทุกสามคันผู้เกษตรกรจำเป็นต้องเดินทางไปยังรายการที่ซื้อทั้งหมดกี่ครั้ง?,5
เกษตรกรกำลังซื้อฟีดสำหรับวัวของเขาเขาซื้อหญ้าแห้งข้าวสาลีแครอทและแอปเปิ้ลหลากหลายชนิดเนื่องจากแอปเปิ้ลเป็นสิ่งที่หายากเขาจึงซื้อกล่อง 7 ปอนด์เพียงห้ากล่องเพื่อความมั่นคงทั้งหมดเขาต้องการแครอทเพียงพอที่จะเลี้ยงวัวในขณะที่ผักสดดังนั้นเขาจึงซื้อถุง 5 ปอนด์สิบสี่ถุงหญ้าแห้งเป็นอาหารหลักของวัวของเขาดังนั้นเขาจึงซื้อแพ็ค 44 ปอนด์สามสิบห้าปอนด์ข้าวสาลีเป็นวัตถุดิบหลักในการเสริมหญ้าแห้งดังนั้นเขาจึงซื้อกระสอบ 15 ปอนด์สิบเก้าในที่สุดเขาซื้อของชำ 43 ปอนด์และเครื่องมือ 27 ปอนด์และไม้ 100 ปอนด์รถบรรทุกฟาร์มสามารถพกพาได้ 100 ปอนด์ต่อครั้งหากเกษตรกรมีรถบรรทุกสามคันผู้เกษตรกรจำเป็นต้องเดินทางไปยังรายการที่ซื้อทั้งหมดกี่ครั้ง?,7
เกษตรกรกำลังซื้อฟีดสำหรับแกะของเขาเขาซื้อแอปเปิ้ลหลากหลายชนิดข้าวสาลีแครอทและข้าวโอ๊ตเนื่องจากข้าวโอ๊ตเป็นของที่หายากเขาจึงซื้อกล่อง 7 ปอนด์แปดกล่องเพื่อความมั่นคงทั้งหมดเขาต้องการแครอทเพียงพอที่จะเลี้ยงแกะในขณะที่ผักสดดังนั้นเขาจึงซื้อถุง 6 ปอนด์สิบสองถุงแอปเปิ้ลเป็นอาหารหลักของแกะของเขาดังนั้นเขาจึงซื้อแพ็ค 43 ปอนด์สามสิบสองแพ็คข้าวสาลีเป็นวัตถุดิบหลักในการเสริมแอปเปิ้ลดังนั้นเขาจึงซื้อกระสอบสิบแปดปอนด์ในที่สุดเขาซื้อของชำ 43 ปอนด์และเครื่องมือ 27 ปอนด์และไม้ 100 ปอนด์รถบรรทุกฟาร์มสามารถพกพาได้ 110 ปอนด์ต่อครั้งหากเกษตรกรมีรถบรรทุกสามคันผู้เกษตรกรจำเป็นต้องเดินทางไปยังรายการที่ซื้อทั้งหมดกี่ครั้ง?,6
