question,answer_number
"Sakura ging zur Urlaub zur Promenade.Ihre Eltern gaben ihr 1300 €, um zu kaufen, was sie wollte.Im Geschenkeladen wurde Saltwater Taffy für ""16 kg für 22 € pro kg kaufen, 4 kg 1/4 Rabatt erhalten"".Sie sammelte 22 kg.Sie kaufte auch eine gemischte Tüte Seestern für 11,0 € und 12 Schlüsselanhänger, die jeweils 20,0 € waren.Sakura spendete dann 5 € auf einem Wohltätigkeitsorganisation.Wie viel Geld hat Sakura übrig?",582
"Kayla ging zum Urlaub zum Pier.Ihre Eltern gaben ihr ₺1400, um zu kaufen, was sie wollte.Im Strandgeschäft wurde Rock Candy für ""16 kg bei ₺22 pro kg kaufen, 6 kg 2/3 Rabatt erhalten"".Sie sammelte 23 kg.Sie kaufte auch einen gemischten Sack Seeglas für ₺11.0- und 14 Aufkleber, die jeweils 20,5 ° C waren.Kayla spendete dann ₺5 in einem Wohltätigkeitsorganisation auf dem Weg.Wie viel Geld hat Kayla übrig?",679
"Chen ging zur Urlaub zur Promenade.Ihre Eltern gaben ihr 1300 Dollar, um zu kaufen, was sie wollte.Im Geschenkeladen wurde Saltwater Taffy für ""16 kg zu 22 USD pro kg kaufen, 6 kg 1/4 Rabatt erhalten"".Sie sammelte 23 kg.Sie kaufte auch eine gemischte Tüte Seestern für 11,0 USD und 11 Schlüsselanhänger, die jeweils 21,0 US -Dollar waren.Chen spendete dann 5 US -Dollar für einen Wohltätigkeitsstand auf dem Weg.Wie viel Geld hat Chen übrig?",580
"Fatima ging zum Urlaub zum Pier.Ihre Eltern gaben ihr ₣ 1200 ₣, um zu kaufen, was sie wollte.Im Strandgeschäft wurde Rock Candy für ""16 kg bei ₣ 20 ₣ pro kg kaufen, 6 kg 1/3 Rabatt erhalten"".Sie sammelte 23 kg.Sie kaufte auch einen gemischten Sack Seeglas für ₣ 11,0 und 13 Aufkleber, die jeweils 20,0 ₣ ₣ 20,0 waren.Fatima spendete dann ₣ 5 in einem Wohltätigkeitsorganisation.Wie viel Geld hat Fatima übrig?",504
"Ava ging für den Urlaub an die Küste.Ihre Eltern gaben ihr 1400 Dollar, um zu kaufen, was sie wollte.Im Küstenladen wurde Cotton Candy für ""17 Pfund zu 22 USD pro Pfund kaufen, 4 Pfund 1/2 Rabatt erhalten"".Sie sammelte 23 Pfund.Sie kaufte auch eine gemischte Tüte Korallenstücke für 11,0 und 18 Stifte, die jeweils 20,5 US -Dollar betrugen.Ava spendete dann 5 US -Dollar auf einem Wohltätigkeitsstand auf dem Weg.Wie viel Geld hat Ava übrig?",553
"Valeria ging zum Urlaub an die Küste.Ihre Eltern gaben ihr 1300 €, um zu kaufen, was sie wollte.Im Küstenladen stand Baumwoll -Süßigkeiten für ""15 Pfund bei 21 € pro Pfund, 5 Pfund 1/3 Rabatt"".Sie sammelte 23 Pfund.Sie kaufte auch eine gemischte Tüte Korallenstücke für 11,0 € und 11 Pins, die jeweils 21,0 € waren.Valeria spendete dann 5 € auf einem Wohltätigkeitsorganisation.Wie viel Geld hat Valeria übrig?",605
"Sophia ging zum Urlaub zum Pier.Ihre Eltern gaben ihr ₺1400, um zu kaufen, was sie wollte.Im Strandgeschäft wurde Rock Candy für ""17 kg in ₺20 ₺ pro kg kaufen, 5 kg 1/2 Rabatt erhalten"".Sie sammelte 23 kg.Sie kaufte auch einen gemischten Sack Seeglas für ₺11.0- und 13 Aufkleber, die jeweils 20,0 ₺0 waren.Sophia spendete dann ₺5 in einem Wohltätigkeitsorganisation auf dem Weg.Wie viel Geld hat Sophia übrig?",714
"Mei ging zum Urlaub zum Strand.Ihre Eltern gaben ihr 1300 Yen, um zu kaufen, was sie wollte.Im Souvenir Store wurde Fudge für ""15 Kilogramm bei 23 Yen pro Kilogramm kaufen, 4 Kilogramm 1/4 Rabatt erhalten"".Sie sammelte 20 Kilogramm.Sie kaufte auch eine gemischte Tüte Sanddollar für 11,0 Yen und 14 Postkarten, die jeweils 21,0 Yen waren.Mei spendete dann 5 Yen in einem Wohltätigkeitsstand auf dem Weg.Wie viel Geld hat Mei übrig?",553
"Sophia ging zum Urlaub zum Pier.Ihre Eltern gaben ihr ₺1400, um zu kaufen, was sie wollte.Im Strandgeschäft wurde Rock Candy für ""15 Kilogramm bei ₺23 pro Kilogramm kaufen, 6 Kilogramm 1/3 Rabatt erhalten"".Sie sammelte 23 Kilogramm.Sie kaufte auch einen gemischten Sack Seeglas für ₺11.0- und 18 Aufkleber, die jeweils 20,5 ₺ 5 waren.Sophia spendete dann ₺5 in einem Wohltätigkeitsorganisation auf dem Weg.Wie viel Geld hat Sophia übrig?",532
"Tara ging zur Urlaub zur Promenade.Ihre Eltern gaben ihr ₣ 1200 ₣, um zu kaufen, was sie wollte.Im Geschenkeladen wurde Saltwater Taffy für ""17 kg bei 22 ₣ 22 pro kg kaufen, 4 kg 1/4 Rabatt erhalten"".Sie sammelte 23 kg.Sie kaufte auch eine gemischte Tüte Seestern für ₣ 11,0 und 12 Schlüsselanhänger, die jeweils ₣ 20,0 ° C waren.Tara spendete dann ₣ 5 in einem Wohltätigkeitsorganisation auf dem Weg.Wie viel Geld hat Tara übrig?",460
"Ein Bauer kauft Futter für seine Kühe.Er kauft eine Vielzahl von Äpfeln, Heu, Gurken und Mais.Da Mais ein seltener Genuss ist, kauft er nur vier 6-Pfund-Kisten für den ganzen Stall.Er möchte nur genug Gurken, um die Kühe zu füttern, während das Gemüse frisch ist, also kauft er vierzehn 8-Pfund-Beutel.Äpfel sind die Hauptdiät seiner Kühe, also kauft er fünfunddreißig 42-Pfund-Packungen.Heu ist ein Grundnahrungsmittel, um die Äpfel zu ergänzen, also kauft er achtzehn Pfund Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann jeweils 140 Pfund tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",5
"Ein Bauer kauft Futter für seine Schafe.Er kauft eine Vielzahl von Weizen, Mais, Rüben und Hafer.Da Hafer ein seltener Genuss sind, kauft er nur fünf 3-kg-Kisten von ihnen für den ganzen Stall.Er möchte nur genug Rüben, um die Schafe zu füttern, während das Gemüse frisch ist, also kauft er elf 7-kg-Beutel.Weizen sind die Hauptdiät seiner Schafe, also kauft er vierunddreißig 44-kg-Packungen.Mais sind ein Grundnahrungsmittel, um den Weizen zu ergänzen, also kauft er achtzehn 19-kg-Säcke.Schließlich kauft er 43 kg Lebensmittel und 27 kg Werkzeuge und 100 kg Holz.Ein Farmwagen kann jeweils 140 kg tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",5
"Ein Bauer kauft Futter für seine Kühe.Er kauft eine Vielzahl von Weizen, Hafer, Karotten und Mais.Da Mais ein seltener Genuss ist, kauft er nur sieben 5-kg-Kisten von ihnen für den ganzen Stall.Er möchte nur genug Karotten, um die Kühe zu füttern, während das Gemüse frisch ist, also kauft er elf 7-kg-Beutel.Weizen sind die Hauptdiät seiner Kühe, also kauft er vierunddreißig 39-kg-Packungen.Hafer sind ein Grundnahrungsmittel, um den Weizen zu ergänzen, also kauft er neunzehn 18-kg-Säcke.Schließlich kauft er 43 kg Lebensmittel und 27 kg Werkzeuge und 100 kg Holz.Ein Farmwagen kann jeweils 130 kg tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",5
"Ein Bauer kauft Futter für seine Kühe.Er kauft eine Vielzahl von Heu, Weizen, Karotten und Äpfeln.Da Äpfel ein seltener Genuss sind, kauft er nur fünf 7-Pfund-Kisten für den ganzen Stall.Er möchte nur genug Karotten, um die Kühe zu füttern, während das Gemüse frisch ist, also kauft er vierzehn 5-Pfund-Beutel.Heu ist die Hauptdiät seiner Kühe, also kauft er fünfunddreißig 44-Pfund-Packungen.Weizen sind ein Grundnahrungsmittel, um das Heu zu ergänzen, also kauft er neunzehn Pfund Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann jeweils 100 Pfund tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",7
"Ein Bauer kauft Futter für seine Schafe.Er kauft eine Vielzahl von Äpfeln, Weizen, Karotten und Hafer.Da Hafer ein seltener Genuss sind, kauft er nur acht 7-Pfund-Kisten für den ganzen Stall.Er möchte nur genug Karotten, um die Schafe zu füttern, während das Gemüse frisch ist, also kauft er zwölf 6-Pfund-Taschen.Äpfel sind die Hauptdiät seiner Schafe, also kauft er zweiunddreißig 43-Pfund-Packungen.Weizen sind ein Grundnahrungsmittel, um die Äpfel zu ergänzen, also kauft er achtzehn 17-Pfund-Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann jeweils 110 Pfund tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",6
"Ein Landwirt kauft Futter für seine Alpakas.Er kauft eine Vielzahl von Äpfeln, Weizen, Gurken und Heu.Da Heu ein seltener Genuss ist, kauft er nur sechs 3-Pfund-Kisten für den ganzen Stall.Er möchte nur genug Gurken, um die Alpakas zu füttern, während das Gemüse frisch ist, also kauft er fünfzehn 8-Pfund-Beutel.Äpfel sind die Hauptdiät seiner Alpakas, also kauft er vierunddreißig 43-Pfund-Packungen.Weizen sind ein Grundnahrungsmittel, um die Äpfel zu ergänzen, also kauft er achtzehn Pfund Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann 170 Pfund gleichzeitig tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",4
"Ein Landwirt kauft Futter für seine Alpakas.Er kauft eine Vielzahl von Äpfeln, Weizen, Rüben und Heu.Da Heu ein seltener Vergnügen ist, kauft er nur sechs 7-Pfund-Kisten für den Ganzen.Er möchte nur genug Rüben, um die Alpakas zu füttern, während das Gemüse frisch ist, also kauft er elf 6-Pfund-Beutel.Äpfel sind die Hauptdiät seiner Alpakas, also kauft er vierunddreißig 43-Pfund-Packungen.Weizen sind ein Grundnahrungsmittel, um die Äpfel zu ergänzen, also kauft er zwanzig 18-Pfund-Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann jeweils 100 Pfund tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",7
"Ein Bauer kauft Futter für seine Schafe.Er kauft eine Vielzahl von Weizen, Hafer, Karotten und Äpfeln.Da Äpfel ein seltener Genuss sind, kauft er nur acht 4-Pfund-Kisten für den gesamten Stall.Er möchte nur genug Karotten, um die Schafe zu füttern, während das Gemüse frisch ist, also kauft er zwölf 6-Pfund-Taschen.Weizen sind die Hauptdiät seiner Schafe, also kauft er dreiunddreißig 42-Pfund-Packungen.Hafer sind ein Grundnahrungsmittel, um den Weizen zu ergänzen, also kauft er 20-Pfund-Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann jeweils 110 Pfund tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",6
"Ein Bauer kauft Futter für seine Schafe.Er kauft eine Vielzahl von Äpfeln, Hafer, Karotten und Heu.Da Heu ein seltener Genuss ist, kauft er nur fünf 6-Pfund-Kisten für den ganzen Stall.Er möchte nur genug Karotten, um die Schafe zu füttern, während das Gemüse frisch ist, also kauft er vierzehn 6-Pfund-Taschen.Äpfel sind die Hauptdiät seiner Schafe, also kauft er zweiunddreißig 38-Pfund-Packungen.Hafer sind ein Grundnahrungsmittel, um die Äpfel zu ergänzen, also kauft er 15-Pfund-Säcke.Schließlich kauft er 43 Pfund Lebensmittel und 27 Pfund Werkzeuge und 100 Pfund Holz.Ein Farmwagen kann jeweils 150 Pfund tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",4
"Ein Bauer kauft Futter für seine Kühe.Er kauft eine Vielzahl von Heu, Weizen, Gurken und Mais.Da Mais ein seltener Genuss ist, kauft er nur sechs 5-kg-Kisten von ihnen für den ganzen Stall.Er möchte nur genug Gurken, um die Kühe zu füttern, während das Gemüse frisch ist, also kauft er fünfzehn 8-kg-Beutel.Heu ist die Hauptdiät seiner Kühe, also kauft er fünfunddreißig 35-kg-Packungen.Weizen sind ein Grundnahrungsmittel, um das Heu zu ergänzen, also kauft er siebzehn 15 kg Säcke.Schließlich kauft er 43 kg Lebensmittel und 27 kg Werkzeuge und 100 kg Holz.Ein Farmwagen kann jeweils 120 kg tragen.Wenn der Landwirt drei Lastwagen hat, wie viele Reisen muss der Landwirt alle gekauften Gegenstände transportieren?",5
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 30 Minuten, um alle 3 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 72 Meilen gegenüber der Meerfront bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank ein Viertel der Stadt abdeckt?",300
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 75 Minuten, um alle 10 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 72 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank 1/4 der Stadt abdeckt?",210
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 60 Minuten, um alle 3 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 54 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank 1/3 der Stadt abdeckt?",660
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 60 Minuten, um alle 6 Meilen der Stadt zu bedecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 72 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank 1/3 der Stadt abdeckt?",420
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 25 Minuten, um alle 5 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 54 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank den 1/2 der Stadt abdeckt?",210
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 90 Minuten, um alle 3 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 78 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank ein Drittel der Stadt abdeckt?",1500
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 30 Minuten, um alle 13 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 78 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank 1/2 der Stadt abdeckt?",120
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 15 Minuten, um alle 3 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 96 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank ein Viertel der Stadt abdeckt?",180
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 20 Minuten, um alle 3 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 72 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inland -Rand ist, wie viele Minuten dauert es, bis die Nebelbank ein Drittel der Stadt abdeckt?",260
"Eine Nebelbank rollt aus dem Meer ein, um eine Stadt zu bedecken.Es dauert 15 Minuten, um alle 3 Meilen der Stadt abzudecken.Wir wissen jedoch, dass die Windgeschwindigkeit in einer Stunde halbiert wird.Wenn die Stadt 96 Meilen gegenüber dem Meer bis zum gegenüberliegenden Inlandrand liegt, wie viele Minuten dauert es, bis die Nebelbank 1/2 der Stadt abdeckt?",420
"Emma geht jeden Tag 32 Kilometer auf ihrem Lieblings -Wanderweg, der 14 Kilometer am Strand und 18 Kilometer auf dem Bürgersteig spazieren geht.Auf dem Bürgersteig geht Emma dreimal so hoch wie die Geschwindigkeit, die sie am Strand tut.Aufgrund einer jüngsten Verletzung hat die Geschwindigkeit von Emma jedoch sowohl am Strand als auch am Bürgersteig um die Hälfte zurückgegangen.Wenn 56 Minuten ihres Spaziergangs am Strand verbracht werden, wie lange dauert es, bis sie in wenigen Minuten den gesamten 32 Kilometer langen Spaziergang absolviert?",80
"Olivia geht jeden Tag 29 Meilen auf ihrem Lieblings -Wanderweg, der 13 Meilen laufende Spaziergänge am Strand und 16 Meilen auf dem Bürgersteig beinhaltet.Auf dem Bürgersteig geht Olivia viermal so schnell wie am Strand.Aufgrund einer jüngsten Verletzung hat sich Olivias Geschwindigkeit sowohl am Strand als auch am Bürgersteig um die Hälfte verringert.Wenn 65 Minuten ihres Spaziergangs am Strand verbracht werden, wie lange dauert es, bis sie in wenigen Minuten den gesamten 29-Meilen-Spaziergang beendet ist?",85
"Fatima geht jeden Tag 26 Meilen auf ihrem Lieblings -Wanderweg, der 11 Meilen laufend am Strand und 15 Meilen laufende Spaziergänge auf dem Bürgersteig umfasst.Auf dem Bürgersteig geht Fatima dreimal so schnell wie die Geschwindigkeit, die sie am Strand tut.Aufgrund einer jüngsten Verletzung ist die Geschwindigkeit von Fatima jedoch sowohl am Strand als auch am Bürgersteig um die Hälfte zurückgegangen.Wenn 44 Minuten ihres Spaziergangs am Strand verbracht werden, wie lange dauert es, bis sie den gesamten 26-Meilen-Spaziergang in Minuten absolviert hat?",64
"Rania geht jeden Tag 28 Kilometer auf ihrem Lieblings -Wanderweg, der 14 Kilometer am Strand und 14 Kilometer auf dem Bürgersteig spazieren geht.Auf dem Bürgersteig geht Rania zweimal so schnell wie die Geschwindigkeit, die sie am Strand macht.Aufgrund einer jüngsten Verletzung hat sich Ranias Geschwindigkeit sowohl am Strand als auch auf dem Bürgersteig um die Hälfte verringert.Wenn 42 Minuten ihres Spaziergangs am Strand verbracht werden, wie lange dauert es, bis sie in wenigen Minuten den gesamten 28 Kilometer langen Spaziergang absolviert?",63
"Ananya geht jeden Tag 20 Meilen auf ihrem Lieblings -Wanderweg, der 10 Meilen laufende Spaziergänge am Strand und 10 Meilen laufende Spaziergänge auf dem Bürgersteig umfasst.Auf dem Bürgersteig geht Ananya zweimal so schnell wie die Geschwindigkeit, die sie am Strand tut.Aufgrund einer jüngsten Verletzung ist die Geschwindigkeit von Ananya jedoch sowohl am Strand als auch am Bürgersteig um die Hälfte zurückgegangen.Wenn 40 Minuten ihres Spaziergangs am Strand verbracht werden, wie lange dauert es, bis sie die gesamte 20-Meilen-Spaziergang in Minuten absolviert hat?",60
"Keisha geht jeden Tag 33 Meilen auf ihrem Lieblings -Wanderweg, der 17 Meilen laufende Spaziergänge am Strand und 16 Meilen laufende Spaziergänge auf dem Bürgersteig umfasst.Auf dem Bürgersteig geht Keisha zweimal so schnell wie die Geschwindigkeit, die sie am Strand macht.Aufgrund einer jüngsten Verletzung hat die Geschwindigkeit von Keisha jedoch sowohl am Strand als auch am Bürgersteig um die Hälfte zurückgegangen.Wenn 51 Minuten ihres Spaziergangs am Strand verbracht werden, wie lange dauert es, bis sie in wenigen Minuten den gesamten 33-Meilen-Spaziergang beendet ist?",75
