question,answer_number
"Sakura andò al lungomare per le vacanze.I suoi genitori le hanno dato € 1300 per comprare quello che voleva.Nel negozio di articoli da regalo, Saltwater Taffy era in vendita per ""Acquista 16 kg a € 22 per kg, ricevi 4 kg 1/4 di sconto"".Ha raccolto 22 kg.Ha anche comprato un miscuglio di stelle marine per € 11,0 e 12 portachiavi che erano € 20,0 ciascuno.Sakura ha quindi donato € 5 in un supporto di beneficenza lungo la strada.Quanti soldi ha rimasto Sakura?",582
"Kayla andò al molo per le vacanze.I suoi genitori le hanno dato ₺1400 per comprare quello che voleva.Al negozio di spiaggia, Rock Candy era in vendita per ""Acquista 16 kg a ₺22 per kg, ricevi 6 kg 2/3 di sconto"".Ha raccolto 23 kg.Ha anche comprato un miscuglio di vetro di mare per ₺11,0 e 14 adesivi che erano ₺20,5 ciascuno.Kayla ha quindi donato ₺5 in un supporto di beneficenza lungo la strada.Quanti soldi resta Kayla?",679
"Chen andò al lungomare per le vacanze.I suoi genitori le hanno dato $ 1300 per comprare quello che voleva.Nel negozio di articoli da regalo, Saltwater Taffy era in vendita per ""Acquista 16 kg a $ 22 per kg, ricevi 6 kg 1/4 di sconto"".Ha raccolto 23 kg.Ha anche comprato un miscuglio di stelle marine per $ 11,0 e 11 portachiavi che erano $ 21,0 ciascuno.Chen ha quindi donato $ 5 in un supporto di beneficenza lungo la strada.Quanti soldi ha rimasto Chen?",580
"Fatima andò al molo per le vacanze.I suoi genitori le hanno dato ₣ 1200 per comprare quello che voleva.Al negozio di spiaggia, Rock Candy era in vendita per ""Acquista 16 kg a ₣ 20 per kg, ricevi 6 kg 1/3 di sconto"".Ha raccolto 23 kg.Ha anche comprato un miscuglio di vetro di mare per ₣ 11,0 e 13 adesivi che erano ₣ 20,0 ciascuno.Fatima ha quindi donato ₣ 5 in un supporto di beneficenza lungo la strada.Quanti soldi ha rimasto Fatima?",504
"Ava andò sulla costa per vacanza.I suoi genitori le hanno dato $ 1400 per comprare quello che voleva.Nel negozio di mare, Cotton Candy era in vendita per ""Acquista 17 sterline a $ 22 per sterlina, ottieni 4 sterline 1/2 di sconto"".Ha raccolto 23 sterline.Ha anche comprato un miscuglio di pezzi di corallo per $ 11,0 e 18 perni che erano $ 20,5 ciascuno.Ava ha quindi donato $ 5 in un supporto di beneficenza lungo la strada.Quanti soldi ha lasciato Ava?",553
"Valeria andò sulla costa per vacanza.I suoi genitori le hanno dato € 1300 per comprare quello che voleva.Nel negozio di mare, Cotton Candy era in vendita per ""Acquista 15 sterline a € 21 per libbra, ottieni 5 sterline 1/3 di sconto"".Ha raccolto 23 sterline.Ha anche comprato un miscuglio di pezzi di corallo per € 11,0 e 11 perni che erano di € 21,0 ciascuno.Valeria ha quindi donato € 5 in un supporto di beneficenza lungo la strada.Quanti soldi resta Valeria?",605
"Sophia andò al molo per le vacanze.I suoi genitori le hanno dato ₺1400 per comprare quello che voleva.Al negozio di spiaggia, Rock Candy era in vendita per ""Acquista 17 kg a ₺20 per kg, prendi 5 kg 1/2 di sconto"".Ha raccolto 23 kg.Ha anche comprato un miscuglio di vetro di mare per ₺11,0 e 13 adesivi che erano ₺20,0 ciascuno.Sophia ha quindi donato ₺5 in un supporto di beneficenza lungo la strada.Quanti soldi ha rimasto Sophia?",714
"Mei andò in spiaggia per le vacanze.I suoi genitori le hanno dato 1300 ¥ per comprare quello che voleva.Nel negozio di souvenir, Fudge era in vendita per ""Acquista 15 chilogrammi a ¥ 23 per chilogrammo, ricevi 4 chilogrammi 1/4 di sconto"".Ha raccolto 20 chilogrammi.Ha anche comprato un miscuglio di dollari di sabbia per ¥ 11,0 e 14 cartoline che erano ¥ 21,0 ciascuna.Mei ha quindi donato ¥ 5 in uno stand di beneficenza lungo la strada.Quanti soldi ha rimasto Mei?",553
"Sophia andò al molo per le vacanze.I suoi genitori le hanno dato ₺1400 per comprare quello che voleva.Al negozio di spiaggia, Rock Candy era in vendita per ""Acquista 15 chilogrammi a ₺23 per chilogrammo, ricevi 6 chilogrammi 1/3 di sconto"".Ha raccolto 23 chilogrammi.Ha anche comprato un miscuglio di vetro di mare per ₺11,0 e 18 adesivi che erano ₺20,5 ciascuno.Sophia ha quindi donato ₺5 in un supporto di beneficenza lungo la strada.Quanti soldi ha rimasto Sophia?",532
"Tara andò al lungomare per le vacanze.I suoi genitori le hanno dato ₣ 1200 per comprare quello che voleva.Nel negozio di articoli da regalo, Saltwater Taffy era in vendita per ""Acquista 17 kg a ₣ 22 per kg, ricevi 4 kg 1/4 di sconto"".Ha raccolto 23 kg.Ha anche comprato un miscuglio di stelle marine per ₣ 11,0 e 12 portachiavi che erano ₣ 20,0 ciascuno.Tara ha quindi donato ₣ 5 in un supporto di beneficenza lungo la strada.Quanti soldi ha rimasto Tara?",460
"Un agricoltore sta acquistando mangimi per le sue mucche.Compra una varietà di mele, fieno, cetrioli e mais.Poiché il mais è un piacere raro, compra solo quattro scatole da 6 libbre per l'intera stalla.Vuole solo abbastanza cetrioli da nutrire le mucche mentre le verdure sono fresche, quindi acquista quattordici sacchetti da 8 libbre.Le mele sono la dieta principale delle sue mucche, quindi acquista trentacinque pacchetti da 42 libbre.Il fieno è un punto fermo per integrare le mele, quindi acquista diciotto sacchi da 18 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 140 chili alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",5
"Un agricoltore sta acquistando mangimi per le sue pecore.Compra una varietà di grano, mais, barbabietole e avena.Poiché l'avena è un piacere raro, compra solo cinque scatole da 3 kg per l'intera stalla.Vuole solo abbastanza barbabietole per nutrire le pecore mentre le verdure sono fresche, quindi acquista undici borse da 7 kg.Il grano è la dieta principale delle sue pecore, quindi acquista trentaquattro pacchetti da 44 kg.Il mais è un punto fermo per integrare il grano, quindi compra diciotto sacchi da 19 kg.Alla fine, compra 43 kg di generi alimentari e 27 kg di strumenti e 100 kg di legno.Un camion agricolo può trasportare 140 kg alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",5
"Un agricoltore sta acquistando mangimi per le sue mucche.Compra una varietà di grano, avena, carote e mais.Poiché il mais è un piacere raro, compra solo sette scatole da 5 kg per l'intera stalla.Vuole solo abbastanza carote per nutrire le mucche mentre le verdure sono fresche, quindi acquista undici borse da 7 kg.Il grano è la dieta principale delle sue mucche, quindi acquista trentaquattro pacchetti da 39 kg.L'avena è un punto fermo per integrare il grano, quindi acquista diciannove sacchi da 18 kg.Alla fine, compra 43 kg di generi alimentari e 27 kg di strumenti e 100 kg di legno.Un camion agricolo può trasportare 130 kg alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",5
"Un agricoltore sta acquistando mangimi per le sue mucche.Compra una varietà di fieno, grano, carote e mele.Poiché le mele sono un piacere raro, compra solo cinque scatole da 7 libbre per l'intera stalla.Vuole solo abbastanza carote per nutrire le mucche mentre le verdure sono fresche, quindi acquista sacchi da 5 libbre da 5 libbre.Il fieno è la dieta principale delle sue mucche, quindi acquista trentacinque pacchetti da 44 libbre.Il grano è un punto fermo per integrare il fieno, quindi acquista diciannove sacchi da 15 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 100 chili alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",7
"Un agricoltore sta acquistando mangimi per le sue pecore.Compra una varietà di mele, grano, carote e avena.Poiché l'avena è un piacere raro, compra solo otto scatole da 7 libbre per l'intera stalla.Vuole solo abbastanza carote per nutrire le pecore mentre le verdure sono fresche, quindi acquista borse da 6 libbre.Le mele sono la dieta principale delle sue pecore, quindi acquista trentadue pacchetti da 43 libbre.Il grano è un punto fermo per integrare le mele, quindi acquista diciotto sacchi da 17 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 110 sterline alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",6
"Un agricoltore sta acquistando mangimi per i suoi alpaca.Compra una varietà di mele, grano, cetrioli e fieno.Poiché il fieno è un piacere raro, compra solo sei scatole da 3 libbre per l'intera stalla.Vuole solo abbastanza cetrioli da nutrire gli alpaca mentre le verdure sono fresche, quindi compra quindici sacchi da 8 libbre.Le mele sono la dieta principale dei suoi alpaca, quindi acquista trentaquattro pacchetti da 43 libbre.Il grano è un punto fermo per integrare le mele, quindi compra diciotto sacchi da 15 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 170 sterline alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",4
"Un agricoltore sta acquistando mangimi per i suoi alpaca.Compra una varietà di mele, grano, barbabietole e fieno.Poiché il fieno è un piacere raro, compra solo sei scatole da 7 libbre per l'intera stalla.Vuole solo abbastanza barbabietole per nutrire gli alpaca mentre le verdure sono fresche, quindi acquista undici sacchi da 6 libbre.Le mele sono la dieta principale dei suoi alpaca, quindi acquista trentaquattro pacchetti da 43 libbre.Il grano è un punto fermo per integrare le mele, quindi acquista sacchi da 18 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 100 chili alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",7
"Un agricoltore sta acquistando mangimi per le sue pecore.Compra una varietà di grano, avena, carote e mele.Poiché le mele sono un piacere raro, compra solo otto scatole da 4 libbre per l'intera stalla.Vuole solo abbastanza carote per nutrire le pecore mentre le verdure sono fresche, quindi acquista borse da 6 libbre.Il grano è la dieta principale delle sue pecore, quindi acquista trenta tre pacchetti da 42 libbre.L'avena è un punto fermo per integrare il grano, quindi acquista sacchi da venti da 16 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 110 sterline alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",6
"Un agricoltore sta acquistando mangimi per le sue pecore.Compra una varietà di mele, avena, carote e fieno.Poiché il fieno è un piacere raro, compra solo cinque scatole da 6 libbre per l'intera stalla.Vuole solo abbastanza carote per nutrire le pecore mentre le verdure sono fresche, quindi acquista sacchetti da 6 libbre.Le mele sono la dieta principale delle sue pecore, quindi acquista trentadue pacchetti da 38 libbre.L'avena è un punto fermo per integrare le mele, quindi acquista sacchi da 25 libbre.Alla fine, compra 43 chili di generi alimentari e 27 chili di strumenti e 100 chili di legno.Un camion agricolo può trasportare 150 chili alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",4
"Un agricoltore sta acquistando mangimi per le sue mucche.Compra una varietà di fieno, grano, cetrioli e mais.Poiché il mais è un piacere raro, compra solo sei scatole da 5 kg per l'intera stalla.Vuole solo abbastanza cetrioli da nutrire le mucche mentre le verdure sono fresche, quindi acquista sacchi da 8 kg di quindici kg.Il fieno è la dieta principale delle sue mucche, quindi acquista trentacinque pacchetti da 35 kg.Il grano è un punto fermo per integrare il fieno, quindi acquista diciassette sacchi da 15 kg.Alla fine, compra 43 kg di generi alimentari e 27 kg di strumenti e 100 kg di legno.Un camion agricolo può trasportare 120 kg alla volta.Se l'agricoltore ha tre camion, quanti viaggi ha bisogno dell'agricoltore per trasportare tutti gli articoli acquistati?",5
